 ========================================================================
 Mesh information:
 Nx =                    3     -    Ny =                     3
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
   16000.0000      0.5000      0.0000   1403.3966    703.0000     48.9160
   16200.0000      0.5000      0.0000   1403.3661    703.0000     48.9143
   16400.0000      0.5000      0.0000   1403.3400    703.0000     48.9128
   16600.0000      0.5000      0.0000   1403.3175    703.0000     48.9116
   16800.0000      0.5000      0.0000   1403.2982    703.0000     48.9105
   17000.0000      0.5000      0.0000   1403.2817    703.0000     48.9096
   17200.0000      0.5000      0.0000   1403.2675    703.0000     48.9088
   17400.0000      0.5000      0.0000   1403.2554    703.0000     48.9082
   17600.0000      0.5000      0.0000   1403.2449    703.0000     48.9076
   17800.0000      0.5000      0.0000   1403.2360    703.0000     48.9071
   18000.0000      0.5000      0.0000   1403.2283    703.0000     48.9067
   18200.0000      0.5000      0.0000   1403.2217    703.0000     48.9063
   18400.0000      0.5000      0.0000   1403.2160    703.0000     48.9060
                                                                         
                                                                         
 ========================================================================
 Npos =  5
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
       0.0000      0.5000      0.1000    300.0000    478.5730     62.2137
     200.0000      0.5000      0.1000    345.0276    457.2856     60.4794
     400.0000      0.5000      0.1000    402.4429    466.7131     58.0355
